"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","test_module_step","test_story_03","0","0","1","0","0"
"","test_module_title","test_story_01","0","0","1","0","0"
"","用于描述被测试产品需求","用于描述feature的用户场景，即测试需求","0","0","2","0","0"
"","test_module_severity","test_story_02","1","0","1","0","0"
"","test_module_step","test_story_04","0","0","1","0","0"
"","test_module_title","test_story_03","0","0","1","0","0"
"","test_module_step","test_story_01","0","0","1","0","0"
"","test_module_title","test_story_02","1","0","1","0","0"
"","test_module_story","test_story_02","0","0","1","0","0"
"","test_module_testcase","test_story_01","0","0","1","0","0"
"","test_module_story","test_story_01","1","0","0","0","0"
"","test_module_step","test_story_02","0","0","1","0","0"
"","test_module_feature","","0","0","1","0","0"
"","test_module_class","","0","0","3","0","0"
"","test_module_用例描述","test_story_03","0","0","1","0","0"
"","test_module_link","test_story_01","0","0","1","0","0"
"","test_module_用例描述","test_story_04","0","0","1","0","0"
"","test_module_用例描述","test_story_01","0","0","1","0","0"
"","test_module_severity","test_story_01","1","0","1","0","0"
"","test_module_issue","test_story_01","0","0","1","0","0"
"","test_module_用例描述","test_story_02","0","0","1","0","0"
"","test_module_attach","test_story_02","0","0","1","0","0"
"","test_module_attach","test_story_01","0","0","1","0","0"
